"Date","Price","Open","High","Low","Vol.","Change %"
"20/09/2023","68,995.31","68,041.26","68,995.31","67,898.13","143.32M","1.40%"
"19/09/2023","68,041.26","68,299.44","68,484.77","67,960.54","131.36M","-0.38%"
"18/09/2023","68,299.44","69,029.17","69,203.67","68,119.55","105.23M","-1.06%"
"15/09/2023","69,029.17","68,806.22","69,463.56","68,806.22","302.50M","0.32%"
"14/09/2023","68,806.22","67,777.55","68,806.22","67,751.64","150.16M","1.52%"
"13/09/2023","67,777.55","68,540.41","68,540.41","67,288.98","125.08M","-1.11%"
"12/09/2023","68,540.41","68,518.46","68,639.01","68,045.27","106.28M","0.03%"
"11/09/2023","68,518.46","68,020.84","68,997.82","68,020.84","87.05M","0.73%"
"08/09/2023","68,020.84","67,583.93","68,063.26","67,357.42","118.63M","0.65%"
"07/09/2023","67,583.93","68,754.21","68,755.44","67,538.60","101.43M","-1.70%"
"06/09/2023","68,754.21","69,322.26","69,393.06","68,486.55","114.87M","-0.82%"
"05/09/2023","69,322.26","69,662.43","69,679.18","68,773.49","126.62M","-0.49%"
"04/09/2023","69,662.43","69,069.25","69,992.79","69,032.78","70.91M","0.86%"
"01/09/2023","69,069.25","69,278.44","69,674.21","68,889.66","107.58M","-0.30%"
"31/08/2023","69,278.44","69,516.14","69,608.59","69,206.35","267.81M","-0.34%"
"30/08/2023","69,516.14","69,093.97","69,601.97","69,078.26","114.59M","0.61%"
"29/08/2023","69,093.97","69,370.36","69,391.70","68,783.77","87.47M","-0.40%"
"28/08/2023","69,370.36","68,162.29","69,433.76","68,162.29","63.38M","1.77%"
"25/08/2023","68,162.29","68,637.10","69,080.86","68,162.29","78.94M","-0.69%"
"24/08/2023","68,637.10","68,404.39","69,245.33","68,387.73","97.16M","0.34%"
"23/08/2023","68,404.39","67,797.63","68,482.90","67,796.28","103.81M","0.89%"
"22/08/2023","67,797.63","68,284.71","68,803.69","67,616.49","129.30M","-0.71%"
"21/08/2023","68,284.71","67,620.79","68,535.06","67,601.51","119.04M","0.98%"
"18/08/2023","67,620.79","68,878.76","68,878.76","67,432.41","127.83M","-1.83%"
"17/08/2023","68,878.76","69,342.57","69,798.99","68,629.75","134.94M","-0.67%"
"16/08/2023","69,342.57","70,045.37","70,045.37","68,910.44","105.21M","-1.00%"
"15/08/2023","70,045.37","70,633.37","70,880.36","69,832.13","97.52M","-0.83%"
"14/08/2023","70,633.37","71,434.25","71,496.09","70,282.95","104.34M","-1.12%"
"11/08/2023","71,434.25","72,215.94","72,215.94","71,396.39","85.00M","-1.08%"
"10/08/2023","72,215.94","71,341.31","72,623.52","71,180.04","103.05M","1.23%"
"08/08/2023","71,341.31","71,586.14","71,597.10","71,080.82","104.78M","-0.34%"
"07/08/2023","71,586.14","71,603.86","71,902.92","71,262.88","71.99M","-0.02%"
"04/08/2023","71,603.86","71,431.29","71,774.47","70,983.10","113.50M","0.24%"
"03/08/2023","71,431.29","71,164.44","71,431.29","70,336.00","124.07M","0.37%"
"02/08/2023","71,164.44","73,286.24","73,287.36","71,164.44","152.05M","-2.90%"
"01/08/2023","73,286.24","73,634.07","73,899.99","73,197.72","119.67M","-0.47%"
"31/07/2023","73,634.07","73,120.28","73,634.07","72,767.61","118.09M","0.70%"
"28/07/2023","73,120.28","72,871.47","73,259.98","72,629.09","110.24M","0.34%"
"27/07/2023","72,871.47","72,250.89","73,070.27","72,172.10","143.50M","0.86%"
"26/07/2023","72,250.89","72,212.09","72,350.75","71,877.74","106.15M","0.05%"
"25/07/2023","72,212.09","71,524.42","72,387.72","71,519.32","96.82M","0.96%"
"24/07/2023","71,524.42","71,578.77","71,935.56","71,272.80","75.26M","-0.08%"
"21/07/2023","71,578.77","71,806.48","71,846.29","71,460.28","66.91M","-0.32%"
"20/07/2023","71,806.48","71,859.33","72,134.76","71,619.84","98.66M","-0.07%"
"19/07/2023","71,859.33","71,858.37","72,026.85","71,566.66","89.27M","0.00%"
"18/07/2023","71,858.37","71,989.17","72,004.00","71,366.51","121.63M","-0.18%"
"17/07/2023","71,989.17","72,480.19","72,480.19","71,410.52","114.95M","-0.68%"
"14/07/2023","72,480.19","71,995.97","72,624.90","71,726.27","104.03M","0.67%"
"13/07/2023","71,995.97","71,206.63","72,240.69","71,182.86","109.15M","1.11%"
"12/07/2023","71,206.63","69,532.28","71,206.63","69,450.12","106.28M","2.41%"
"11/07/2023","69,532.28","69,098.37","69,809.65","69,098.37","108.93M","0.63%"
"10/07/2023","69,098.37","69,509.98","69,509.98","68,623.42","71.43M","-0.59%"
"07/07/2023","69,509.98","68,813.08","69,579.56","68,804.06","84.52M","1.01%"
